Date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2/14/22,59,55,65,74,62,56,64,46,21270,28080,6810,4980,11370,4920,42,76,1680,13950,2022-02-14T00:54:32-05:00,2022-02-14T08:42:32-05:00,52.97,47,60,0.02,0.28,11.875,69,100,100,25,40,57,13,2048,234,203,2340,29580,240,120,0,54120,1.09375,0,73,51,56,100,96,100,84,67,88
2/15/22,64,68,75,45,60,50,91,57,24780,33120,8340,5700,16080,3000,46,75,1050,15660,2022-02-15T00:03:39-05:00,2022-02-15T09:15:39-05:00,51.54,47,58,-0.17,0.1,12.125,66,100,100,25,40,38,43,2102,941,647,5040,29760,3240,0,0,48360,1.125,0,69,59,56,None,96,99,93,69,56
2/16/22,61,57,43,75,72,57,89,42,21960,27420,5460,3300,13710,4950,38,80,660,13830,2022-02-16T01:03:49-05:00,2022-02-16T08:40:49-05:00,53.99,49,58,-0.07,0.05,11.75,82,100,100,43,71,97,843,2915,351,13321,2280,32280,720,5940,0,45180,1.5625,0,63,54,53,None,100,100,75,70,38
2/17/22,75,78,93,89,69,54,75,68,27510,34860,7350,7050,14610,5850,39,79,360,16650,2022-02-16T23:24:45-05:00,2022-02-17T09:05:45-05:00,55.71,50,49,-0.2,0,11.875,75,100,100,25,40,96,227,2319,4745,4114,12480,31020,5700,1560,60,35580,1.25,0,69,77,58,None,97,98,40,66,100
2/18/22,62,67,68,78,58,53,67,32,24480,33120,8640,5160,14160,5160,41,74,1590,15600,2022-02-18T00:54:47-05:00,2022-02-18T10:06:47-05:00,55.38,50,53,-0.15,-0.01,12.375,82,100,100,43,71,98,536,2649,912,8226,11280,33960,2940,2220,1380,34620,1.4375,0,70,56,58,94,97,100,59,66,90
2/19/22,54,63,56,56,55,49,35,41,23370,31800,8430,4260,15390,3720,49,73,2340,16050,2022-02-19T00:28:00-05:00,2022-02-19T09:18:00-05:00,55.5,49,66,0.1,0.07,12,82,100,100,43,71,97,60,2149,1157,836,12300,31800,3900,60,0,38340,1.15625,0,61,43,58,None,96,96,78,72,16
2/20/22,64,68,47,96,62,52,78,41,24840,32700,7860,3600,14370,6870,43,76,450,14190,2022-02-20T00:59:57-05:00,2022-02-20T10:04:57-05:00,51.19,47,73,-0.16,0.08,12.5,82,99,100,43,71,96,117,2252,2439,1597,18780,32940,8340,240,0,26100,1.21875,0,75,59,59,None,98,100,78,81,100
2/21/22,54,56,32,64,60,52,67,46,21780,28860,7080,2490,15060,4230,40,75,180,14820,2022-02-21T00:39:35-05:00,2022-02-21T08:40:35-05:00,51.81,47,60,-0.16,0.04,12.125,81,100,95,43,71,89,22,2085,514,270,9000,28320,1380,60,0,47640,1.125,1,73,43,56,97,98,99,100,81,54
2/22/22,60,68,58,44,67,55,70,42,24840,31860,7020,4440,17490,2910,40,78,1530,16080,2022-02-22T00:27:00-05:00,2022-02-22T09:18:00-05:00,52.55,48,53,-0.24,-0.02,12,76,100,100,43,71,58,73,2144,1562,1029,10560,36060,5040,0,0,34740,1.15625,0,73,53,57,None,100,97,86,79,84
2/23/22,68,71,41,72,62,63,89,70,25560,33420,7860,3150,17670,4740,33,76,660,16950,2022-02-22T23:15:56-05:00,2022-02-23T08:32:56-05:00,51.55,47,64,0.14,0.09,12.125,67,100,100,25,40,46,173,2281,4009,3023,9300,24360,3540,1740,0,47460,1.25,0,80,66,59,100,95,93,95,83,87
